AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,BLAST_D8
90.4,65.9,78.6,1.34,80,70,21,132,42,112.2,94.5,212.3,9,34.2,82,44,45,37,44,1,6,49,33.333
93.1,70.5,79,0.005,75,75,63,425,335,123.7,103.7,218.5,9.4,29.8,82,48,74,60,70,4,9,17,16.049
90.4,31.2,82.3,3.6,80,65,49,286,197,96.4,81.1,181.9,8.2,28.4,82,47,41,30,37,3,26,34,20.253
94.9,79.1,76.7,0.013,75,75,58,366,281,55.5,48.8,84.8,6.5,29.9,90,69,50,15,18,31,37,13,27.027
90.3,68.8,86.2,0,70,80,40,272,187,104.5,92.1,181.4,6.8,40.1,86,51,63,54,59,4,16,22,39.024
94.6,77.2,89.1,0.11,70,75,31,198,113,97.1,80.5,175.7,8.5,26.6,82,47,59,47,54,5,14,27,25.806
91.4,70.2,70.5,0.03,70,75,53,337,252,110.8,100.4,179.4,8.3,35.7,90,60,40,29,31,9,3,57,34.247
88.3,56.3,73.2,0.077,60,80,37,248,163,112.4,97.5,192.8,8.7,31.7,85,51,43,32,36,7,20,37,23.611
92.9,71.4,49,0.31,65,75,36,226,141,114,100.5,167.7,5.4,39.7,87,61,43,40,41,2,2,55,23.529
93.2,73,69.9,0.2,65,70,28,166,81,105.5,98.3,162.8,5,41.3,92,64,36,32,34,2,8,56,35.211
91.6,72.2,71.6,-,60,65,23,124,39,125.9,111.6,216.1,8.7,33.5,87,52,53,49,52,2,10,36,34.328
93.1,78.5,66.5,0.081,65,60,27,137,53,83.7,58.6,169.5,11.9,23.6,69,36,71,50,61,10,5,24,24.59
90.7,67.5,56.9,0.23,70,75,35,223,138,121.6,103.2,223,10.3,31.9,82,46,43,33,37,5,24,33,27.692
83.1,16.9,57.4,0.022,40,20,28,47,0,97.7,90.2,143,4.1,40.6,90,64,32,25,28,4,2,65,24.638
86.5,54,50.5,2.1,65,60,15,76,0,118.3,107.6,194.5,7.2,34.5,91,60,31,29,30,2,14,55,38.028
86.4,56.5,59.3,-,70,65,16,88,0,103.7,94.9,161.2,6.5,34.4,91,65,37,28,30,8,8,54,48.529
90.4,70.1,70.8,0.21,55,60,14,69,0,116.8,106.9,184.2,7,30,90,58,16,1,1,0,8,0,28.814
88.2,65.4,71.7,0.065,55,50,22,93,9,89.9,79.9,149.7,5,41.8,88,59,18,14,16,2,7,75,37.097
88.8,67.4,67.4,0.073,65,40,19,64,0,82.9,73.4,151.1,6.9,29.1,88,51,27,22,23,4,16,56,31.25
86.1,58.4,59,-,65,65,21,122,32,85,66.6,179.8,7.5,34.1,78,38,57,42,53,4,16,27,18.182
88.1,60.4,66.7,0.1,40,60,28,140,55,80.3,59.5,160.3,7.9,29.4,74,40,20,12,17,4,30,50,20.833
87.6,58,62.9,0.028,30,40,22,75,0,99.1,87,162,5.2,44.2,87,55,13,11,13,1,5,81,12.121
80.7,46,60.7,4.08,55,20,16,27,0,103.4,80.2,207.6,9.7,27.8,75,39,17,8,8,0,10,0,14.035
78.4,44.6,43,0.42,50,40,11,37,0,109.3,82.6,228.2,10,31.5,75,38,48,32,47,1,15,37,1.493
83.4,16.9,66,0.054,70,85,15,86,1,142.7,132.6,197.9,5.9,40,92,69,60,54,57,2,7,33,15.942
83.6,37.4,38,0.69,65,65,18,99,14,102.6,88.9,190.2,7.9,34.2,84,46,48,39,44,4,11,40,9.859
92.5,68.4,78.8,0.15,65,70,12,71,0,111.4,102.4,166.2,5.5,40.8,91,65,51,42,46,5,10,39,19.048
89.4,60.7,53,0.029,45,70,17,101,16,99.4,91.1,183.9,6,45.4,91,51,63,60,61,1,5,33,1.515
88.9,69.9,78.1,0.45,70,65,13,69,0,88.7,85.4,121.8,4.2,40,95,70,20,13,13,7,27,53,19.048
89.4,56.3,71.9,0.051,60,70,78,461,376,79.5,63.2,155,7.6,26.5,78,41,41,26,33,8,22,37,34.247
89.6,65.5,94.8,0.31,50,65,31,168,83,108.3,93.9,183.4,7.1,36.3,85,54,60,51,58,3,7,33,31.944
93.9,76.4,64.1,1.47,55,70,30,179,94,83.3,70,168.3,7.6,34.5,83,44,44,33,38,6,17,38,43.662
94.6,75.6,83.6,0.03,55,45,31,119,34,74.9,64.7,123.5,5,32.4,84,53,19,33,1,0,15,0,29.851
-,-,-,0.15,45,60,29,146,60,78.7,56.1,139,6.4,30.9,72,43,31,13,24,7,21,48,26.866
84.8,51.6,60.4,0.037,60,70,32,190,105,80.3,61.7,161.5,8.1,28.6,77,40,53,31,44,9,20,27,30.263
68.6,39,33.6,0.92,65,40,20,66,0,82.9,71.7,151.1,7.7,30.7,85,50,60,40,44,17,19,20,18.571
98.1,71.3,17.1,3,40,70,22,128,43,94.1,84.9,160.3,5.7,41.8,88,54,30,24,26,4,7,63,27.143
85,57.9,70.8,0.014,30,45,22,84,0,77.8,62.1,150.5,7.5,23.7,76,41,15,16,0,0,9,0,25.397
86.3,61.7,72.4,0.009,55,55,46,212,127,100.3,83.2,169.3,7.3,32.7,78,48,32,20,26,6,20,48,26.866
83.1,49.9,79.6,0.046,30,50,74,312,227,102,87,180.4,8.1,31,83,49,45,35,40,5,16,39,30.986
86.2,64.4,72.2,0.37,45,65,23,124,39,83.7,72.1,157.8,6,39,86,48,52,42,47,5,14,34,45.714
86.4,65.3,50.2,0.46,60,65,31,171,86,103.7,86.9,183.5,7.9,31.6,84,51,30,23,27,3,31,39,40.58
88.1,72.2,78.1,1.18,50,55,35,163,76,98.5,83.5,168.5,8,25.3,84,51,15,13,3,0,29,0,12.698
87.5,64.4,76.6,0.058,40,60,47,237,152,135.5,121.4,209.6,8.4,33.9,87,56,48,37,41,7,20,32,29.63
84.4,61.2,57.8,1.44,40,60,22,118,28,106.7,84.4,217.9,10.6,31.2,76,38,39,25,35,4,28,33,10.112
76.9,50.5,71.7,0.14,30,60,17,84,0,99.9,85.5,182.3,7.5,36,83,47,38,27,33,5,28,34,9.783
79.6,51.2,74.2,0.64,40,20,29,49,0,106.4,98.2,144.5,5,33.8,90,67,24,20,22,3,4,72,25
87.3,74.1,76,0.067,30,65,17,84,0,88.9,68.6,187.9,7.9,31.7,77,38,14,3,0,0,9,0,14.063
77.7,37,58.9,1.57,60,70,19,90,0,87.6,75.8,168.4,7.2,38.3,86,46,39,32,35,4,14,47,42.045
84.5,56.8,77.5,0.62,50,50,119,535,445,82.7,65.6,165.9,7.5,36.2,77,40,70,45,58,12,12,18,23.077
81.1,18.9,74.7,2.43,65,75,35,236,146,90.9,69.8,189.9,8.1,32.1,78,40,59,42,54,5,14,27,14.667
78,51.4,31.1,1.18,60,65,25,138,53,96.3,86.1,163,7.3,31.1,89,59,59,49,50,9,13,29,44.286
92,75.3,78.5,0.021,45,75,47,317,227,84.1,67.3,153.2,6.4,34,78,45,34,21,27,7,24,42,6.41
95,83.6,79.4,0.013,65,70,25,148,63,81.2,68,142.5,6.9,30.6,84,57,57,29,38,19,24,18,5.556
93.4,74.7,76.8,0,70,65,20,111,26,67.5,58.8,113.8,5.5,33.2,86,56,24,13,14,10,14,62,7.042
90.2,67.3,36.6,1.18,75,55,32,149,64,110.9,97.8,191.9,8.1,35,87,54,61,48,52,9,10,29,9.211
87.8,68.1,76,0.027,70,60,31,164,74,110.4,94.1,174,6.8,34.6,82,54,64,43,54,10,17,19,7.407
84.4,60.8,0.1,0.014,45,55,16,75,0,98.5,62.8,207.1,8.8,28.6,65,33,38,18,36,2,8,54,18.056
91,77.4,77.4,-,65,75,27,179,88,74.5,58.9,138.6,6.4,28.5,78,46,28,15,20,7,12,60,11.842
87.3,67.8,78.2,0,60,65,36,198,108,87.8,69.3,161,7.1,28.9,79,45,32,21,27,5,9,59,9.459
93,75.1,66.7,0.072,70,70,24,151,61,104.5,89.5,192.3,8.5,33.4,84,49,68,48,57,11,12,20,22.222
92.1,74.5,68.8,-,45,65,42,242,152,77,66.1,145.3,5.6,37.8,84,47,39,27,31,8,18,44,39.241
88.8,66.6,74.8,0.95,60,35,36,107,22,96.1,73.2,182.8,9.1,24.6,76,43,19,15,5,0,11,0,19.298
86,61.4,55.2,0.009,55,65,37,202,117,99.7,79.4,206.4,8.8,34.8,78,40,48,36,46,2,7,45,31.818
72.9,32.5,56.7,2.97,60,50,20,88,0,82.7,63.4,170.2,7.4,30.8,77,40,46,29,41,5,14,40,16.438
87.3,54.2,62.4,-,45,50,14,60,0,82.6,68.6,154.1,7,33.8,82,47,47,33,38,9,9,43,26.667
86.5,56.4,68.7,0.24,40,40,13,44,0,93.5,78.6,178.5,5.8,43.7,83,46,35,28,33,2,9,56,20.588
80.4,46.1,56.8,3.94,40,60,29,153,63,76.5,59.1,155,59.1,33,78,44,62,26,39,23,19,19,10.127
88,66.8,62.6,0.03,55,70,41,255,165,105.6,82,218.9,9.5,32.4,78,40,69,49,65,5,10,20,12.821
86.5,61.6,68.5,0.18,70,50,36,151,66,97.9,77,168.6,6,38.5,81,50,32,21,27,5,7,60,16.438
88.8,63.8,54,0.14,75,60,39,242,152,130.5,110.5,224.7,8.7,31.8,82,49,72,56,69,3,13,15,23.81
87.9,65.5,70.1,-,60,65,74,429,339,87.9,73.3,162.8,5.5,42.6,85,48,57,44,51,6,11,32,22.078
91.7,72.4,58.7,0.61,50,70,38,223,138,101.2,79.4,219.1,9.6,30.9,78,38,57,41,52,5,14,29,25.333
85.5,49.9,73.5,0.034,30,60,46,232,147,101.8,93.1,147.3,4.9,39.4,89,62,40,31,33,7,13,47,33.766
93.8,74,67.5,0.078,50,40,27,92,7,87.1,78.9,140.6,5.3,36.7,89,59,42,31,32,9,7,51,36.111
92.5,67.7,65.1,0.27,45,70,27,157,72,95,84.8,156.3,5.1,44.1,88,55,35,30,33,2,5,60,37.313
90.4,64.2,70.9,0.19,65,75,17,108,23,79,64.3,146,5.8,34.5,82,47,71,51,62,8,5,24,25.714
83.2,40.2,52.6,0.4,45,45,25,53,0,81,68.9,149.3,6.8,32.9,84,48,46,34,39,7,14,40,22.388
92.5,67.1,67.9,0.017,45,50,30,125,40,95.8,74.5,198,9.2,28.2,77,39,72,51,68,4,7,21,27.273
89.5,59.7,63.6,0.013,50,45,29,117,27,90.5,75.1,169.2,7.3,32.3,79,44,44,28,36,8,26,30,25.61
81.3,43.5,40.8,0,50,50,40,170,85,73,57.3,136,6.1,36.4,76,42,36,19,26,11,20,44,39.241
89,61.8,64.9,0.021,70,70,21,122,37,85.4,72.1,163.7,7.3,33.3,83,45,42,32,37,5,10,48,36.986
64.8,27.7,68.9,0.35,40,70,20,116,31,110.8,96,186,7.1,37.3,82,50,30,22,26,4,21,49,42.683
76.8,41,52.4,0.53,40,65,21,113,28,94.1,72.3,194.1,9.3,28.2,75,39,46,30,40,6,14,41,38.462
79.5,52,54.4,0.16,40,55,24,110,25,103.3,79.5,216.2,9.6,29.9,76,38,37,26,35,2,8,55,31.944
86.7,27.6,66.7,1.48,60,55,17,82,0,82.9,62,187.8,9.5,26.6,75,36,47,29,41,6,20,33,25.333
85.5,70.9,72,0.084,60,40,20,66,0,88.6,62.3,212.6,9.8,29.4,71,31,49,27,43,5,14,37,31.25
79.6,56.3,88.5,0.45,45,30,21,52,0,113.9,91.4,240.3,11.2,29.7,78,38,62,47,59,3,11,27,17.91
73.6,44.6,51.3,0.11,20,50,32,141,51,90.6,70.4,188.7,8.2,31.5,76,38,46,30,41,4,15,39,8.861
70.3,34.3,49.9,0.18,30,60,20,99,14,97.3,75.1,200.9,7.7,37.4,78,40,51,33,45,5,10,39,16.176
72.3,32.8,58.6,1.88,60,60,16,82,0,96.7,68,215.8,8.6,30.2,72,33,57,32,54,3,10,33,27.273
81.5,44.1,43.9,1.18,55,60,65,331,246,135.3,128.6,173.2,4.3,45.4,94,75,44,41,42,2,4,52,17.808
83.1,57.3,68,0.096,50,30,24,61,0,73.9,60.7,150.4,6.6,33.1,82,44,15,14,0,0,6,0,13.115
82.6,63.1,70.5,0.74,45,45,35,113,48,115.9,98.8,210.6,8.9,32.3,84,47,47,37,43,5,14,39,4.167
86.9,67.6,80.9,0.3,55,70,34,211,121,94.9,80.3,173.2,8.5,29.9,82,48,72,48,58,14,10,18,17.172
88.4,65.7,70.5,0.014,50,50,57,240,155,90,74.4,157,7.1,33.5,81,49,40,25,32,8,18,42,9.859
90.5,71.6,77.8,0.011,60,60,73,372,287,109.7,88.6,201.6,9.1,31.8,79,44,71,50,64,7,15,14,6.944
89.3,73,74.8,0.1,60,70,53,330,240,108.7,89.7,192.9,9.2,26.6,79,45,69,49,62,8,22,9,4.706
90.6,76,75.8,0.08,50,75,49,309,224,73.3,54.7,143.5,7.7,32.6,79,54,29,12,17,12,6,65,10.448
85.7,63.8,72.2,0.04,40,60,45,227,142,85.1,64.7,169.9,6.8,38.5,75,40,37,23,32,6,11,51,7.353
79.7,48.9,66,0.015,40,30,33,83,0,95.7,79.2,192.5,7.1,39.6,81,42,44,34,41,3,8,48,19.718
81.9,60.5,32.8,1.04,60,45,16,122,37,142.4,132.1,194.3,6.1,35.2,90,68,29,23,26,3,23,49,12.676
85.2,64.1,76.8,1.06,65,20,16,27,0,98.7,80.3,198.9,9.8,24.9,80,42,17,14,7,0,12,0,8.621
89.8,73.3,76.5,0.038,60,55,29,135,50,72.1,48.6,128.3,7.5,27.5,76,49,20,5,11,9,12,68,9.589
87.8,65.1,72.9,0.033,60,70,68,402,317,84.4,62.6,164.5,6.1,34.7,76,42,36,21,31,5,13,51,17.143
86.7,63.2,67.7,0,55,55,12,56,0,96.5,61.3,206.9,9.7,27.2,66,32,43,20,39,4,16,41,23.288
87.9,60.2,77.2,0.62,60,70,49,305,215,82.1,60.7,176.3,9.4,31.7,72,37,80,39,62,18,11,9,0
87.9,40.9,74,0.7,50,70,36,223,134,98.6,77,178.4,6.9,36.3,77,44,57,38,50,7,15,28,2.857
95.4,77.3,86.8,0.24,60,70,46,274,189,119.8,103.1,184.1,6.5,40.2,85,56,40,34,38,2,5,55,6.757
82.8,57.5,65.2,0.34,45,45,22,82,0,104,89.2,187.2,8.6,29.3,82,47,37,27,32,5,33,29,32.258
83.9,59.3,55,0.38,45,55,16,72,0,97.3,85.8,180.7,8.7,33.8,87,50,35,26,29,7,27,38,20
84.3,62.9,64.4,0.11,75,85,32,241,151,86,75.1,165.9,7.1,24.8,84,44,59,44,56,4,7,33,14.925
85.8,61.3,93.4,0.067,40,50,24,99,14,112.1,93.3,195.7,9.2,27.1,79,46,30,21,27,3,30,40,10.606
80.7,49,54.3,0.032,45,35,42,125,40,119.5,102.4,196.5,8.4,32.4,81,50,43,30,37,5,34,23,22.059
92.4,81.2,73.1,0.032,70,80,65,468,378,98.7,86.3,177.6,7.1,35,85,49,71,58,65,6,13,16,13.514
93.2,79.9,80.6,0.012,50,60,37,186,101,80.4,64,156.4,7.7,32.4,82,51,49,27,35,14,27,24,7.576
90.7,72.3,40.2,1.34,50,65,31,171,86,108.4,89.9,215.1,9.3,31.3,81,42,31,22,28,3,4,65,11.94
95.7,88.9,84.9,0.22,75,60,70,375,285,87.6,76.3,156.1,7.2,33.1,84,47,59,37,42,17,23,18,16.176
86.2,71.6,65,2.66,70,75,75,502,412,111,93.3,176.5,7.6,31.3,81,52,57,42,52,4,20,23,30
83.5,60.3,69.2,-,20,60,20,105,15,81.9,65.5,154,6.8,35.3,79,44,33,20,26,7,13,54,15.385
91.8,70.1,69.1,0.024,20,50,22,91,6,61.4,55,91,11.1,34.3,92,74,23,9,10,13,28,49,12.5
92.4,85.1,68.6,4.08,60,70,26,164,74,95.8,88,139.9,4.5,42.1,91,64,85,76,81,4,4,11,28.571
-,-,-,-,40,70,34,202,117,96.6,80.5,188.2,8,35.3,83,47,65,48,59,7,6,28,27.273
89.3,68.8,74.5,0.011,40,70,22,128,43,94.9,84.3,142.3,4,40.9,90,63,58,48,53,6,10,31,21.429
80.7,61.7,69.9,3.14,80,85,39,295,205,99.6,83.8,174.4,7.4,32.2,83,48,77,60,71,5,11,12,43.478
89.8,70.2,68.2,3.24,80,90,52,374,284,94.6,85.3,135.1,4.5,39.8,89,65,73,64,70,4,12,15,42.466
88.1,76,-,0.075,55,55,48,222,137,112.1,95.7,209.7,10.2,28.7,84,48,54,40,47,7,18,28,13.846
84,62.4,67.5,2.39,40,55,37,170,85,132.7,114.5,232.1,9.6,30.2,84,49,53,42,49,4,12,35,6.25
87.7,78.6,77.6,2.39,80,85,72,518,428,106.8,99.9,173.4,5.2,47,93,59,67,60,62,5,5,29,7.042
87.1,66.1,71.6,-,50,65,73,427,337,123.6,100.2,220.3,10.1,28,78,45,52,36,47,4,15,33,17.333
87.5,62.9,56.6,0.057,65,75,45,283,198,119.8,110.1,179.5,5.6,42.1,91,62,53,50,52,1,2,44,4.225
87,65.7,69.9,2.57,75,80,29,208,118,107.6,93.9,184,8.5,29.5,85,51,54,44,49,5,13,33,24.286
86.3,62.2,87.1,0.19,65,50,17,70,0,115.6,98.1,202.2,9.6,26.7,82,48,33,24,29,4,19,48,18.75
89,77.3,91.5,0.29,65,40,46,154,69,99.1,82.4,190.6,7.8,35.5,83,45,69,55,65,4,14,17,8.824
88.9,78.3,72.7,2.87,75,85,46,352,262,101.9,91.8,173.1,6.7,35.2,88,53,58,46,52,6,15,27,9.091
89.1,71.5,74.2,0.33,65,40,35,117,32,131.2,108.7,215.3,9.2,29.7,79,49,66,46,59,7,19,16,35.484
77,68,61.8,3.58,60,75,30,203,113,91.7,83.9,149.6,5.5,39.7,90,57,48,42,45,3,22,30,39.437
87.1,75.5,70.4,3.66,75,85,41,314,224,73.9,62.4,148.6,7.2,29.6,83,42,52,41,46,6,21,27,53.623
93.4,82.9,75.4,0.12,55,45,36,137,52,93.5,75.2,180.5,8.8,30,77,41,38,24,32,7,31,30,26.563
93.1,99.7,80.5,0.25,75,80,60,240,190,87.4,76.2,155.6,7.1,33.3,84,48,57,36,41,16,23,20,11.111
97.6,68.7,1.6,2.04,80,80,70,504,414,109.9,95.2,181.1,7.2,32.1,85,53,54,40,48,6,12,34,35.211
88.6,72.9,73.6,0.15,55,55,27,123,38,122.8,98.3,224.6,9.9,30,77,44,78,52,70,8,13,9,23.188
88,74.2,63.6,3.29,70,70,47,293,202,68.1,54,136.9,7.2,27.6,79,42,31,21,25,6,28,40,25.397
94.8,88.1,84.4,0.87,80,80,57,410,320,132.3,109.7,209.1,7.8,31.5,79,51,88,62,83,4,8,4,14.706
90.9,63.3,76.8,0.44,70,65,44,254,164,75.3,57.3,159.2,8.2,25.8,76,37,76,44,63,13,16,8,21.951
87.7,60.8,73,0.025,85,90,32,259,169,119.6,106,204.8,8.3,35.9,87,52,84,70,78,6,7,9,37.681
94.5,72.3,83.9,0.069,85,85,74,566,476,111.8,101,172.8,6.2,36.2,88,58,66,52,58,9,20,14,15.068
81.7,62.2,62.6,0.13,55,55,23,105,20,119.9,106.5,197.6,7.8,36.1,87,55,34,27,30,4,14,52,15.873
98.1,71.9,0.2,2.76,80,80,34,241,151,127.7,118.2,199.4,6.7,38.7,91,60,63,59,61,2,11,26,5.479
84.9,73.2,64.6,1.06,65,80,23,162,72,149.7,133.9,225.1,7.7,37.1,88,59,83,73,80,3,10,7,7.042
77.3,65.7,62.4,3.04,55,70,30,189,99,88.3,81.3,144.4,4.6,46.2,91,59,51,42,45,6,9,41,14.085
69.3,42.3,51.9,0.71,45,55,18,81,0,101.8,84.4,185.9,9.6,29,81,49,46,28,35,11,22,33,31.818
73,50.7,49,2.77,70,70,47,296,206,131.7,111.4,218.2,8.9,31.5,81,50,76,57,70,6,16,8,32.258
66.9,40.4,65,3.81,85,75,25,168,78,80.5,71.3,153.8,5.6,42.6,88,48,27,21,23,4,10,63,32.468
65.4,36.9,59.8,0.48,40,70,10,57,0,93.5,81,169.6,6.9,36.8,84,48,35,27,31,4,10,55,12.941
69,56,50.5,0.94,50,60,21,111,21,131.7,111.4,218.2,8.9,31.5,81,50,76,57,70,6,16,8,11.475
