LIN,VCL,BLAST_D8
44,212.3,33.333
48,218.5,16.049
47,181.9,20.253
69,84.8,27.027
51,181.4,39.024
47,175.7,25.806
60,179.4,34.247
51,192.8,23.611
61,167.7,23.529
64,162.8,35.211
52,216.1,34.328
36,169.5,24.59
46,223,27.692
64,143,24.638
60,194.5,38.028
65,161.2,48.529
58,184.2,28.814
59,149.7,37.097
51,151.1,31.25
38,179.8,18.182
40,160.3,20.833
55,162,12.121
39,207.6,14.035
38,228.2,1.493
69,197.9,15.942
46,190.2,9.859
65,166.2,19.048
51,183.9,1.515
70,121.8,19.048
41,155,34.247
54,183.4,31.944
44,168.3,43.662
53,123.5,29.851
43,139,26.866
40,161.5,30.263
50,151.1,18.571
54,160.3,27.143
41,150.5,25.397
48,169.3,26.866
49,180.4,30.986
48,157.8,45.714
51,183.5,40.58
51,168.5,12.698
56,209.6,29.63
38,217.9,10.112
47,182.3,9.783
67,144.5,25
38,187.9,14.063
46,168.4,42.045
40,165.9,23.077
40,189.9,14.667
59,163,44.286
45,153.2,6.41
57,142.5,5.556
56,113.8,7.042
54,191.9,9.211
54,174,7.407
33,207.1,18.056
46,138.6,11.842
45,161,9.459
49,192.3,22.222
47,145.3,39.241
43,182.8,19.298
40,206.4,31.818
40,170.2,16.438
47,154.1,26.667
46,178.5,20.588
44,155,10.127
40,218.9,12.821
50,168.6,16.438
49,224.7,23.81
48,162.8,22.078
38,219.1,25.333
62,147.3,33.766
59,140.6,36.111
55,156.3,37.313
47,146,25.714
48,149.3,22.388
39,198,27.273
44,169.2,25.61
42,136,39.241
45,163.7,36.986
50,186,42.683
39,194.1,38.462
38,216.2,31.944
36,187.8,25.333
31,212.6,31.25
38,240.3,17.91
38,188.7,8.861
40,200.9,16.176
33,215.8,27.273
75,173.2,17.808
44,150.4,13.115
47,210.6,4.167
48,173.2,17.172
49,157,9.859
44,201.6,6.944
45,192.9,4.706
54,143.5,10.448
40,169.9,7.353
42,192.5,19.718
68,194.3,12.676
42,198.9,8.621
49,128.3,9.589
42,164.5,17.143
32,206.9,23.288
37,176.3,0
44,178.4,2.857
56,184.1,6.757
47,187.2,32.258
50,180.7,20
44,165.9,14.925
46,195.7,10.606
50,196.5,22.059
49,177.6,13.514
51,156.4,7.576
42,215.1,11.94
47,156.1,16.176
52,176.5,30
44,154,15.385
74,91,12.5
64,139.9,28.571
47,188.2,27.273
63,142.3,21.429
48,174.4,43.478
65,135.1,42.466
48,209.7,13.846
49,232.1,6.25
59,173.4,7.042
45,220.3,17.333
62,179.5,4.225
51,184,24.286
48,202.2,18.75
45,190.6,8.824
53,173.1,9.091
49,215.3,35.484
57,149.6,39.437
42,148.6,53.623
41,180.5,26.563
48,155.6,11.111
53,181.1,35.211
44,224.6,23.188
42,136.9,25.397
51,209.1,14.706
37,159.2,21.951
52,204.8,37.681
58,172.8,15.068
55,197.6,15.873
60,199.4,5.479
59,225.1,7.042
59,144.4,14.085
49,185.9,31.818
50,218.2,32.258
48,153.8,32.468
48,169.6,12.941
50,218.2,11.475
59,177.1,11.268
40,200.3,11.667
56,214.2,.
53,200.4,8.571
44,175.1,51.852
37,168.7,29.032
58,217.4,47.761
62,143.9,24.051
59,140.4,15.152
55,158.5,24.638
59,143.9,16.667
66,154.1,20.313
57,171.9,10
52,122.3,31.429
44,169.5,33.333
58,142.9,28.378
60,176.8,30.769
45,144.8,20.27
77,114.3,32.787
54,162.3,42.029
57,205.2,38.71
48,146,17.742
63,149.9,24.561
49,206.4,34.848
52,184.1,9.677
52,192.9,23.529
53,166.7,18.462
51,199.6,31.944
44,212.3,33.333
48,218.5,16.049
47,181.9,20.253
69,84.8,27.027
51,181.4,39.024
47,175.7,25.806
60,179.4,34.247
51,192.8,23.611
61,167.7,23.529
64,162.8,35.211
52,216.1,34.328
36,169.5,24.59
46,223,27.692
37,159.2,21.951
52,204.8,37.681
58,172.8,15.068
52,184.1,9.677
52,192.9,23.529
53,166.7,18.462
51,199.6,31.944
62,143.9,24.051
59,140.4,15.152
55,158.5,24.638
59,143.9,16.667
66,154.1,20.313
57,171.9,10
48,146,17.742
63,149.9,24.561
49,206.4,34.848
54,174,7.407
33,207.1,18.056
46,138.6,11.842
45,161,9.459
49,128.3,9.589
42,164.5,17.143
32,206.9,23.288
45,220.3,17.333
62,179.5,4.225
51,184,24.286
48,173.2,17.172
49,157,9.859
44,201.6,6.944
45,192.9,4.706
54,143.5,10.448
40,169.9,7.353
48,202.2,18.75
45,190.6,8.824
53,173.1,9.091
45,153.2,6.41
57,142.5,5.556
56,113.8,7.042
54,191.9,9.211
46,195.7,10.606
50,196.5,22.059
49,177.6,13.514
51,156.4,7.576
42,215.1,11.94
47,156.1,16.176
52,176.5,30
44,154,15.385
74,91,12.5
64,139.9,28.571
42,192.5,19.718
68,194.3,12.676
42,198.9,8.621
41,180.5,26.563
48,155.6,11.111
53,181.1,35.211
44,224.6,23.188
42,136.9,25.397
51,209.1,14.706
36,187.8,25.333
31,212.6,31.25
38,240.3,17.91
38,188.7,8.861
40,200.9,16.176
33,215.8,27.273
40,200.3,11.667
56,214.2,.
53,200.4,8.571
46,168.4,42.045
40,165.9,23.077
40,189.9,14.667
59,163,44.286
75,173.2,17.808
44,150.4,13.115
47,210.6,4.167
47,187.2,32.258
50,180.7,20
44,165.9,14.925
38,217.9,10.112
47,182.3,9.783
67,144.5,25
38,187.9,14.063
48,209.7,13.846
49,232.1,6.25
59,173.4,7.042
55,197.6,15.873
60,199.4,5.479
59,225.1,7.042
59,144.4,14.085
48,169.6,12.941
50,218.2,11.475
59,177.1,11.268
44,155,10.127
40,218.9,12.821
50,168.6,16.438
49,224.7,23.81
48,162.8,22.078
38,219.1,25.333
47,188.2,27.273
63,142.3,21.429
48,174.4,43.478
65,135.1,42.466
41,155,34.247
54,183.4,31.944
44,168.3,43.662
53,123.5,29.851
43,139,26.866
40,161.5,30.263
50,151.1,18.571
54,160.3,27.143
41,150.5,25.397
48,169.3,26.866
62,147.3,33.766
59,140.6,36.111
55,156.3,37.313
44,169.2,25.61
42,136,39.241
45,163.7,36.986
