MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,BLAST_D8
45,37,44,1,6,49,33.333
74,60,70,4,9,17,16.049
41,30,37,3,26,34,20.253
50,15,18,31,37,13,27.027
63,54,59,4,16,22,39.024
59,47,54,5,14,27,25.806
40,29,31,9,3,57,34.247
43,32,36,7,20,37,23.611
43,40,41,2,2,55,23.529
36,32,34,2,8,56,35.211
53,49,52,2,10,36,34.328
71,50,61,10,5,24,24.59
43,33,37,5,24,33,27.692
32,25,28,4,2,65,24.638
31,29,30,2,14,55,38.028
37,28,30,8,8,54,48.529
16,1,1,0,8,0,28.814
18,14,16,2,7,75,37.097
27,22,23,4,16,56,31.25
57,42,53,4,16,27,18.182
20,12,17,4,30,50,20.833
13,11,13,1,5,81,12.121
17,8,8,0,10,0,14.035
48,32,47,1,15,37,1.493
60,54,57,2,7,33,15.942
48,39,44,4,11,40,9.859
51,42,46,5,10,39,19.048
63,60,61,1,5,33,1.515
20,13,13,7,27,53,19.048
41,26,33,8,22,37,34.247
60,51,58,3,7,33,31.944
44,33,38,6,17,38,43.662
19,33,1,0,15,0,29.851
31,13,24,7,21,48,26.866
53,31,44,9,20,27,30.263
60,40,44,17,19,20,18.571
30,24,26,4,7,63,27.143
15,16,0,0,9,0,25.397
32,20,26,6,20,48,26.866
45,35,40,5,16,39,30.986
52,42,47,5,14,34,45.714
30,23,27,3,31,39,40.58
15,13,3,0,29,0,12.698
48,37,41,7,20,32,29.63
39,25,35,4,28,33,10.112
38,27,33,5,28,34,9.783
24,20,22,3,4,72,25
14,3,0,0,9,0,14.063
39,32,35,4,14,47,42.045
70,45,58,12,12,18,23.077
59,42,54,5,14,27,14.667
59,49,50,9,13,29,44.286
34,21,27,7,24,42,6.41
57,29,38,19,24,18,5.556
24,13,14,10,14,62,7.042
61,48,52,9,10,29,9.211
64,43,54,10,17,19,7.407
38,18,36,2,8,54,18.056
28,15,20,7,12,60,11.842
32,21,27,5,9,59,9.459
68,48,57,11,12,20,22.222
39,27,31,8,18,44,39.241
19,15,5,0,11,0,19.298
48,36,46,2,7,45,31.818
46,29,41,5,14,40,16.438
47,33,38,9,9,43,26.667
35,28,33,2,9,56,20.588
62,26,39,23,19,19,10.127
69,49,65,5,10,20,12.821
32,21,27,5,7,60,16.438
72,56,69,3,13,15,23.81
57,44,51,6,11,32,22.078
57,41,52,5,14,29,25.333
40,31,33,7,13,47,33.766
42,31,32,9,7,51,36.111
35,30,33,2,5,60,37.313
71,51,62,8,5,24,25.714
46,34,39,7,14,40,22.388
72,51,68,4,7,21,27.273
44,28,36,8,26,30,25.61
36,19,26,11,20,44,39.241
42,32,37,5,10,48,36.986
30,22,26,4,21,49,42.683
46,30,40,6,14,41,38.462
37,26,35,2,8,55,31.944
47,29,41,6,20,33,25.333
49,27,43,5,14,37,31.25
62,47,59,3,11,27,17.91
46,30,41,4,15,39,8.861
51,33,45,5,10,39,16.176
57,32,54,3,10,33,27.273
44,41,42,2,4,52,17.808
15,14,0,0,6,0,13.115
47,37,43,5,14,39,4.167
72,48,58,14,10,18,17.172
40,25,32,8,18,42,9.859
71,50,64,7,15,14,6.944
69,49,62,8,22,9,4.706
29,12,17,12,6,65,10.448
37,23,32,6,11,51,7.353
44,34,41,3,8,48,19.718
29,23,26,3,23,49,12.676
17,14,7,0,12,0,8.621
20,5,11,9,12,68,9.589
36,21,31,5,13,51,17.143
43,20,39,4,16,41,23.288
80,39,62,18,11,9,0
57,38,50,7,15,28,2.857
40,34,38,2,5,55,6.757
37,27,32,5,33,29,32.258
35,26,29,7,27,38,20
59,44,56,4,7,33,14.925
30,21,27,3,30,40,10.606
43,30,37,5,34,23,22.059
71,58,65,6,13,16,13.514
49,27,35,14,27,24,7.576
31,22,28,3,4,65,11.94
59,37,42,17,23,18,16.176
57,42,52,4,20,23,30
33,20,26,7,13,54,15.385
23,9,10,13,28,49,12.5
85,76,81,4,4,11,28.571
65,48,59,7,6,28,27.273
58,48,53,6,10,31,21.429
77,60,71,5,11,12,43.478
73,64,70,4,12,15,42.466
54,40,47,7,18,28,13.846
53,42,49,4,12,35,6.25
67,60,62,5,5,29,7.042
52,36,47,4,15,33,17.333
53,50,52,1,2,44,4.225
54,44,49,5,13,33,24.286
33,24,29,4,19,48,18.75
69,55,65,4,14,17,8.824
58,46,52,6,15,27,9.091
66,46,59,7,19,16,35.484
48,42,45,3,22,30,39.437
52,41,46,6,21,27,53.623
38,24,32,7,31,30,26.563
57,36,41,16,23,20,11.111
54,40,48,6,12,34,35.211
78,52,70,8,13,9,23.188
31,21,25,6,28,40,25.397
88,62,83,4,8,4,14.706
76,44,63,13,16,8,21.951
84,70,78,6,7,9,37.681
66,52,58,9,20,14,15.068
34,27,30,4,14,52,15.873
63,59,61,2,11,26,5.479
83,73,80,3,10,7,7.042
51,42,45,6,9,41,14.085
46,28,35,11,22,33,31.818
76,57,70,6,16,8,32.258
27,21,23,4,10,63,32.468
35,27,31,4,10,55,12.941
76,57,70,6,16,8,11.475
46,40,43,3,11,43,11.268
51,37,46,5,22,27,11.667
80,68,74,6,15,5,-
67,57,65,2,5,28,8.571
20,13,17,3,29,51,51.852
50,35,47,3,16,34,29.032
79,68,73,6,17,4,47.761
68,66,67,2,8,24,24.051
23,16,18,5,21,56,15.152
62,57,60,3,11,27,24.638
66,59,63,3,28,6,16.667
42,34,38,4,38,21,20.313
56,50,51,5,17,28,10
78,52,59,18,9,13,31.429
74,48,67,7,12,14,33.333
59,49,52,7,11,31,28.378
83,77,80,3,6,12,30.769
71,46,60,12,17,11,20.27
50,41,41,9,9,41,32.787
39,30,33,6,22,39,42.029
61,51,56,5,15,24,38.71
60,33,36,24,16,24,17.742
74,67,69,5,7,20,24.561
78,68,74,4,10,12,34.848
84,72,78,6,8,8,9.677
78,63,73,6,9,12,23.529
32,26,27,5,37,31,18.462
71,59,66,6,18,11,31.944
45,37,44,1,6,49,33.333
74,60,70,4,9,17,16.049
41,30,37,3,26,34,20.253
50,15,18,31,37,13,27.027
63,54,59,4,16,22,39.024
59,47,54,5,14,27,25.806
40,29,31,9,3,57,34.247
43,32,36,7,20,37,23.611
43,40,41,2,2,55,23.529
36,32,34,2,8,56,35.211
53,49,52,2,10,36,34.328
71,50,61,10,5,24,24.59
43,33,37,5,24,33,27.692
76,44,63,13,16,8,21.951
84,70,78,6,7,9,37.681
66,52,58,9,20,14,15.068
84,72,78,6,8,8,9.677
78,63,73,6,9,12,23.529
32,26,27,5,37,31,18.462
71,59,66,6,18,11,31.944
68,66,67,2,8,24,24.051
23,16,18,5,21,56,15.152
62,57,60,3,11,27,24.638
66,59,63,3,28,6,16.667
42,34,38,4,38,21,20.313
56,50,51,5,17,28,10
60,33,36,24,16,24,17.742
74,67,69,5,7,20,24.561
78,68,74,4,10,12,34.848
64,43,54,10,17,19,7.407
38,18,36,2,8,54,18.056
28,15,20,7,12,60,11.842
32,21,27,5,9,59,9.459
20,5,11,9,12,68,9.589
36,21,31,5,13,51,17.143
43,20,39,4,16,41,23.288
52,36,47,4,15,33,17.333
53,50,52,1,2,44,4.225
54,44,49,5,13,33,24.286
72,48,58,14,10,18,17.172
40,25,32,8,18,42,9.859
71,50,64,7,15,14,6.944
69,49,62,8,22,9,4.706
29,12,17,12,6,65,10.448
37,23,32,6,11,51,7.353
33,24,29,4,19,48,18.75
69,55,65,4,14,17,8.824
58,46,52,6,15,27,9.091
34,21,27,7,24,42,6.41
57,29,38,19,24,18,5.556
24,13,14,10,14,62,7.042
61,48,52,9,10,29,9.211
30,21,27,3,30,40,10.606
43,30,37,5,34,23,22.059
71,58,65,6,13,16,13.514
49,27,35,14,27,24,7.576
31,22,28,3,4,65,11.94
59,37,42,17,23,18,16.176
57,42,52,4,20,23,30
33,20,26,7,13,54,15.385
23,9,10,13,28,49,12.5
85,76,81,4,4,11,28.571
44,34,41,3,8,48,19.718
29,23,26,3,23,49,12.676
17,14,7,0,12,0,8.621
38,24,32,7,31,30,26.563
57,36,41,16,23,20,11.111
54,40,48,6,12,34,35.211
78,52,70,8,13,9,23.188
31,21,25,6,28,40,25.397
88,62,83,4,8,4,14.706
47,29,41,6,20,33,25.333
49,27,43,5,14,37,31.25
62,47,59,3,11,27,17.91
46,30,41,4,15,39,8.861
51,33,45,5,10,39,16.176
57,32,54,3,10,33,27.273
51,37,46,5,22,27,11.667
80,68,74,6,15,5,-
67,57,65,2,5,28,8.571
39,32,35,4,14,47,42.045
70,45,58,12,12,18,23.077
59,42,54,5,14,27,14.667
59,49,50,9,13,29,44.286
44,41,42,2,4,52,17.808
15,14,0,0,6,0,13.115
47,37,43,5,14,39,4.167
37,27,32,5,33,29,32.258
35,26,29,7,27,38,20
59,44,56,4,7,33,14.925
39,25,35,4,28,33,10.112
38,27,33,5,28,34,9.783
24,20,22,3,4,72,25
14,3,0,0,9,0,14.063
54,40,47,7,18,28,13.846
53,42,49,4,12,35,6.25
67,60,62,5,5,29,7.042
34,27,30,4,14,52,15.873
63,59,61,2,11,26,5.479
83,73,80,3,10,7,7.042
51,42,45,6,9,41,14.085
35,27,31,4,10,55,12.941
76,57,70,6,16,8,11.475
46,40,43,3,11,43,11.268
62,26,39,23,19,19,10.127
69,49,65,5,10,20,12.821
32,21,27,5,7,60,16.438
72,56,69,3,13,15,23.81
57,44,51,6,11,32,22.078
57,41,52,5,14,29,25.333
65,48,59,7,6,28,27.273
58,48,53,6,10,31,21.429
77,60,71,5,11,12,43.478
73,64,70,4,12,15,42.466
41,26,33,8,22,37,34.247
60,51,58,3,7,33,31.944
44,33,38,6,17,38,43.662
19,33,1,0,15,0,29.851
31,13,24,7,21,48,26.866
53,31,44,9,20,27,30.263
60,40,44,17,19,20,18.571
30,24,26,4,7,63,27.143
15,16,0,0,9,0,25.397
32,20,26,6,20,48,26.866
40,31,33,7,13,47,33.766
42,31,32,9,7,51,36.111
35,30,33,2,5,60,37.313
44,28,36,8,26,30,25.61
36,19,26,11,20,44,39.241
42,32,37,5,10,48,36.986
